Insulation,Temperature,Num_Occupants,Avg_Age,Home_Size,Predicted_Heating_Oil
68,2,56,4,69.4,5,262.519499136951
69,6,57,2,53.6,1,204.37770287719698
70,4,70,4,40.7,3,182.4948310318141
71,8,52,10,20.9,6,152.0773957503729
72,7,38,2,55.4,5,232.46905742687554
73,5,64,9,17.8,1,132.52638970308232
74,0,87,2,52.1,2,202.82183228157544
75,7,55,6,34.8,2,168.4896643615414
76,5,38,3,62.9,5,254.09630011097005
77,3,86,6,44.9,5,186.35319251161476
78,5,47,6,52.3,8,234.87258178842035
79,7,70,3,72.2,4,233.52913968860167
80,6,47,4,22.0,8,174.57399009826972
81,2,49,8,46.1,3,216.91445933002313
82,1,88,10,37.8,7,184.01819283079087
83,8,68,10,65.3,8,228.41582952363086
84,4,38,5,27.9,2,182.0095691926818
85,8,81,3,17.1,3,113.38117566075252
86,3,50,8,51.2,4,224.88232913862686
87,2,85,6,49.5,7,206.05442236834924
88,2,76,1,30.1,7,178.86872308175154
89,7,72,7,47.9,5,187.81869946961547
90,4,65,3,53.6,6,220.77130184329596
91,3,61,1,54.6,2,218.12445861308396
92,2,48,8,53.5,6,241.09869249634028
93,8,53,4,27.4,8,171.8149599723545
94,6,87,8,26.7,3,132.4982506268566
95,7,82,6,52.0,4,184.28390112559907
96,4,67,1,25.7,6,167.222891760923
97,1,71,8,47.5,5,211.10970306877417
98,2,74,9,30.2,3,165.44970077652968
99,0,42,9,33.2,7,218.58276265653953
100,2,63,1,68.9,3,250.42034608365196
101,2,50,6,51.5,1,220.662858124131
102,4,78,4,66.9,6,234.46443061032954
103,3,58,6,58.2,3,228.84912724374658
104,5,53,7,51.6,3,212.45965051984825
105,4,78,5,23.3,8,158.26973313528353
106,1,88,8,63.8,3,221.1444071312828
107,6,45,8,72.6,8,270.18336727468375
108,8,63,3,29.0,7,163.57169836650803
109,0,61,6,53.8,5,236.06000311073447
110,0,79,9,54.5,5,221.0959992054553
111,5,43,9,59.0,7,246.70770241603253
112,5,70,8,39.8,3,175.49212933065732
113,6,88,1,35.9,2,148.2666326238651
114,4,85,7,25.9,5,147.14595548173483
115,1,74,4,61.4,3,229.86491687275486
116,3,78,5,72.8,3,239.75409831726915
117,5,58,4,57.6,1,214.29634135103268
118,3,52,1,57.0,7,245.9339643436005
119,7,55,10,40.4,1,174.51944268480975
120,1,67,9,39.9,6,202.97113463505258
121,8,45,1,17.5,1,139.0486769001183
122,6,61,1,32.2,2,164.16493894664814
123,5,73,8,58.3,3,207.7939983626119
124,5,70,3,70.2,6,243.87700311238825
125,7,59,3,68.3,3,232.36663298415675
126,8,80,2,38.2,6,163.7137271635864
127,0,42,4,30.3,6,211.71722284477727
128,1,61,1,20.8,4,168.58066934639203
129,4,76,10,60.7,2,209.87196020867185
130,2,82,8,72.6,3,238.87581974395442
131,3,51,1,72.4,1,256.98449331946136
132,5,89,2,65.1,7,221.65962412103167
133,1,70,3,67.4,1,238.63200569732726
134,7,55,7,20.8,7,157.44343411600093
135,7,48,8,70.1,6,252.74340715416128
136,8,39,6,53.1,7,228.2495380701896
137,2,85,3,63.5,3,220.9259526737448
138,5,54,4,55.1,3,219.24239836961155
139,0,69,4,61.1,5,243.725237543753
140,8,52,3,44.2,4,192.11500950948647
141,5,54,3,70.5,2,245.45905098769356
142,1,70,8,27.8,7,181.12077374037423
143,7,42,4,66.0,1,235.81970058029185
144,2,71,5,22.6,2,151.9270694764269
145,5,53,5,44.4,2,196.4577349126744
146,6,59,7,29.9,2,159.45135417936203
147,2,61,5,63.4,4,243.50522840107845
148,4,82,2,71.7,3,231.40861837953105
149,8,51,10,70.6,2,233.99488215150063
150,1,56,4,27.4,4,184.2077918818728
151,5,69,6,68.7,8,247.12786734504735
152,2,53,3,67.9,1,250.04743700121216
153,0,44,10,32.9,1,197.17744358083164
154,0,73,1,23.7,3,164.66992585143007
155,2,56,5,27.7,4,180.50297153145831
156,5,60,8,61.7,6,234.60772673235275
157,0,62,5,47.4,8,232.9056193297123
158,0,74,10,18.9,2,148.53587899518294
159,0,75,1,30.8,8,192.01522579369802
160,7,63,4,43.0,7,193.5170492512146
161,3,41,3,30.8,2,189.54640307433877
162,6,67,1,67.1,7,240.48067155301584
163,8,81,3,16.0,7,123.84313477146398
164,6,58,6,49.7,6,210.46892552252348
165,8,41,2,51.9,5,219.41255347457934
166,0,78,4,25.4,5,168.86610484805576
167,0,86,4,48.2,2,195.63166997160727
168,2,56,9,33.6,7,199.63144839206296
169,7,79,10,41.7,1,156.64177073625783
170,6,72,7,29.5,1,144.55462319677562
171,6,73,7,55.0,2,194.86744950205883
172,1,73,2,25.9,3,164.54353758000644
173,6,85,4,69.6,5,222.63991972329603
174,5,65,1,71.6,3,242.03995816226472
175,1,53,7,55.3,7,247.65744421385796
176,3,85,9,58.2,8,220.61157999078705
177,5,62,8,60.8,6,231.21884055436863
178,1,87,6,24.6,6,158.25476442046343
179,0,73,1,48.8,3,211.94289700020397
180,0,77,5,57.6,6,233.14551243708092
181,0,44,5,26.2,2,189.421881084046
182,0,62,8,24.3,4,175.82791685942192
183,4,40,10,35.7,7,208.9435405398224
184,5,74,10,71.2,6,239.951131977854
185,0,82,8,32.4,3,171.0115230540192
186,8,68,10,32.9,8,167.3941456503132
187,3,41,3,65.2,2,254.33485755712053
188,4,40,2,59.2,6,252.83719175804953
189,7,90,4,52.3,4,178.7654384254934
190,7,62,9,52.0,5,203.31789691426738
191,7,65,9,50.0,7,203.2772086721737
192,1,40,6,63.9,5,268.94361214749745
193,5,43,1,60.9,6,249.92023105204782
194,2,88,7,17.7,2,127.608967228199
195,4,83,3,70.5,4,231.0891173867812
196,7,73,5,57.5,6,208.87757875303538
197,3,80,8,64.0,2,217.315228510359
198,5,81,8,63.5,8,226.47934801471308
199,0,67,4,34.4,8,204.53295152057066
200,7,40,1,35.3,3,186.9982715867661
201,8,56,4,64.5,4,226.61411272640808
202,4,57,1,30.1,7,187.1124048568496
203,1,73,9,22.6,6,165.30705065201258
204,3,63,6,60.9,6,239.09993126664733
205,5,47,6,40.6,5,203.43671151361815
206,7,82,3,58.5,4,197.5637245914211
207,8,73,7,59.7,7,211.53867155640296
208,6,90,5,50.8,2,173.2514756138952
209,3,80,2,22.0,4,146.5555251546999
210,4,77,10,35.7,8,180.74093230738356
211,5,49,1,59.3,3,232.42503414386317
212,8,74,2,40.5,4,166.86019010268762
213,2,86,5,71.8,5,241.2860931507404
214,6,48,8,31.5,7,187.10205140813034
215,7,86,6,51.1,3,176.06775480741047
216,7,77,1,47.9,7,191.9265804033883
217,0,74,8,72.9,3,254.0639855105675
218,6,41,10,18.6,1,149.2424151478748
219,5,64,7,35.6,6,182.4096311330842
220,4,41,1,56.0,4,240.042537269774
221,4,59,9,33.8,2,173.9524701047333
222,2,59,7,51.0,3,218.01978996627153
223,7,56,3,24.3,8,167.70554236393136
224,4,90,1,56.2,7,208.3204111488881
225,8,89,1,32.0,1,129.09329693677608
226,3,87,7,58.6,7,217.2295532958513
227,1,68,8,43.5,2,196.71665874599648
228,1,79,3,53.4,3,210.90917558727335
229,8,69,6,24.6,1,130.36494141057233
230,6,65,7,44.5,4,188.1341028902321
231,8,50,3,60.4,2,218.05284937691226
232,4,41,6,21.1,8,185.11637477210314
233,7,89,10,72.7,8,228.49146331967836
234,5,70,1,28.7,2,153.8747093434683
235,1,64,3,26.5,8,188.61701010031743
236,6,76,2,20.5,1,125.94617495517653
237,2,42,7,41.6,2,211.58018229697632
238,8,49,1,63.5,3,228.5635635832993
239,8,78,9,63.2,2,197.53693860788005
240,6,88,9,57.1,1,182.29346305420125
241,1,48,8,42.5,5,221.17192968795496
242,0,50,1,20.9,4,182.00902087750052
243,4,75,9,71.5,5,240.80564307276586
244,0,40,2,45.0,3,232.38844334200175
245,5,55,1,31.7,4,178.49550225856248
246,6,65,6,27.5,8,168.99617531739227
247,4,84,5,31.8,3,153.529886331934
248,3,76,9,17.9,2,133.53290510797515
249,4,75,8,68.3,8,244.52501196874886
250,1,48,9,65.9,4,261.76378542051725
251,2,87,3,61.3,5,221.35550707256738
252,8,70,4,24.6,7,149.0104254509606
253,6,72,7,41.0,1,166.21355420119392
254,8,49,8,17.4,1,133.0510819303788
255,8,66,9,47.8,6,191.22952428327528
256,1,43,4,60.7,1,248.53421644422625
257,8,55,4,61.4,4,221.62253798360143
258,4,55,8,55.8,3,222.25398601445562
259,3,84,6,18.5,2,128.92539766097704
260,6,81,5,57.2,8,211.72794329981906
261,2,38,10,54.0,8,256.08454431691524
262,4,82,10,25.2,4,144.19710515246732
263,3,78,7,31.6,5,167.73358591189205
264,0,48,5,68.9,5,275.8550169980905
265,7,73,10,19.8,7,139.27767519267732
266,1,90,8,72.5,7,248.36970282464284
267,1,46,2,61.2,6,263.29413299677606
268,6,65,5,62.2,1,212.76163989792738
269,4,46,6,70.0,7,269.84589692770686
270,0,88,5,17.7,4,142.41548058482553
271,0,52,9,31.3,7,206.53513355892218
272,0,51,9,17.3,8,184.14807973101563
273,4,74,9,57.9,5,216.03852263027295
274,0,58,10,16.4,5,166.77839317259276
275,7,54,7,37.1,3,176.45585133907892
276,8,49,9,38.3,8,194.0018402929444
277,3,74,6,68.7,2,231.94053697715134
278,8,79,3,56.2,4,191.84880121597928
279,1,88,7,64.9,6,232.96233283761353
280,2,56,10,41.4,3,201.44223116136814
281,2,39,1,17.1,2,170.05363940675733
282,6,60,5,70.8,8,255.12729718329024
283,7,45,1,43.3,4,200.96417625178825
284,2,46,7,58.9,8,259.57559368026483
285,8,44,2,62.4,5,236.6473400686777
286,6,79,3,24.3,3,136.48318181884068
287,0,68,5,34.9,4,191.74810186346937
288,2,49,6,70.9,8,279.98139789314916
289,4,89,10,18.3,1,115.87304642734027
290,2,57,1,70.5,4,261.6487015188783
291,1,75,3,42.8,2,191.19954942808528
292,4,55,6,19.0,7,166.1709690696096
293,8,90,1,35.8,8,157.33718654824935
294,8,67,4,38.3,3,164.81988028546064
295,2,51,8,56.9,7,248.09486416332044
296,0,69,6,57.4,4,232.9314118563894
297,5,46,1,40.7,8,215.60193026383126
298,3,57,10,47.0,1,200.95153141290038
299,8,38,3,35.4,2,181.13125318096337
300,8,50,5,42.4,3,186.59345530483904
301,6,71,1,60.0,6,220.58753634548867
302,8,70,4,31.6,8,165.32754332056396
303,0,90,8,25.4,8,166.71957198838967
304,8,84,4,64.5,1,193.50009886481638
305,8,88,10,46.6,7,173.1247095514098
306,3,38,2,32.0,8,213.49368862616814
307,5,74,4,44.0,3,181.39842744983306
308,5,88,5,59.1,5,203.90157153648
309,0,38,10,33.1,2,205.7690595894331
310,7,43,9,66.2,6,249.28686331333168
311,6,82,1,36.4,6,166.8235264333237
312,2,54,5,44.5,7,223.2379462641192
313,2,69,6,42.8,3,194.45277311053036
314,4,44,5,32.6,5,195.18022412318396
315,2,64,9,28.5,2,167.58372204063258
316,7,40,6,62.2,8,251.59874165801372
317,0,83,1,30.1,4,171.38781551956774
318,5,47,1,44.5,4,209.37819177403364
319,5,64,9,51.0,4,204.45504402962314
320,7,88,6,32.0,5,144.6680975562618
321,2,67,7,38.0,6,196.1606855992915
322,4,57,4,53.2,5,223.31394493813724
323,8,50,8,47.5,2,192.02748063742933
324,2,81,7,55.6,3,208.05112892706057
325,2,75,5,53.8,6,219.83469512253225
326,5,58,6,61.9,5,234.23670178392115
327,5,65,1,20.7,6,155.57590836084202
328,4,46,10,57.6,6,241.97473976579874
329,7,64,1,42.3,4,182.98931661166588
330,6,61,3,30.4,1,156.9495453382754
331,0,52,3,26.8,7,200.13553765775578
332,4,60,10,26.7,4,165.65441655054366
333,8,85,4,41.4,5,161.68066156956058
334,8,75,6,53.4,1,179.5249199756788
335,5,72,5,67.7,1,221.11571744106112
336,4,51,7,68.4,6,259.1185215326552
337,6,76,5,70.1,6,233.9913707672171
338,4,38,7,66.7,3,257.5264604293877
339,0,69,3,61.9,5,245.57788544922656
340,2,44,5,38.5,5,214.13998998139516
341,7,72,5,57.3,7,212.4812421304308
342,5,62,2,72.0,6,254.38839393749504
343,0,48,1,70.3,3,273.6086735985088
344,8,75,6,28.2,5,144.5972932423484
345,2,57,3,42.5,3,205.08861292652642
346,6,83,4,40.1,5,168.7738926374265
347,0,86,9,15.7,5,142.0922114688141
348,6,54,6,30.9,1,162.78185691861609
349,1,73,1,51.3,8,228.39456766428376
350,6,56,4,72.4,1,239.94038698464584
351,1,51,5,27.5,8,200.81847220588799
352,3,40,4,68.5,5,270.4512713123484
353,4,67,5,62.5,8,241.41455380126817
354,0,51,3,23.0,5,187.55875172867837
355,3,83,10,48.2,6,196.85878521254577
356,1,46,8,36.2,5,211.0004416718685
357,6,66,10,54.8,6,211.9150743150038
358,4,51,10,65.0,7,254.81061324798168
359,7,45,8,53.4,2,211.2979487248077
360,8,44,8,50.0,7,217.48456579283118
361,5,82,6,35.0,2,153.84730203248853
362,7,88,6,55.2,2,178.96237441660733
363,0,86,3,60.6,2,219.33158741197235
364,0,45,1,56.2,8,265.260803589771
365,5,49,10,47.8,2,204.5192254477741
366,5,60,3,44.5,2,191.40951485348495
367,8,57,9,58.3,5,215.49392656324625
368,1,62,1,63.7,5,251.66439995401254
369,0,81,2,16.3,3,143.61157731982394
370,8,78,9,20.7,4,123.7599046297272
371,6,59,7,67.4,5,239.47856531625058
372,4,44,4,40.0,5,209.46321503988892
373,1,44,6,27.1,2,186.84709191647073
374,6,57,5,52.5,4,210.66842226636544
375,0,85,9,27.4,6,168.10815997252067
376,7,55,7,72.1,1,235.2605758298789
377,4,44,7,67.3,5,259.8418148740094
378,7,49,2,37.3,2,179.66340448129915
379,5,58,4,56.7,3,218.8681360497322
380,5,71,8,37.1,6,178.96033151545572
381,3,45,6,60.6,7,256.9128910452346
382,7,76,1,44.0,4,176.02803520735853
383,6,84,8,44.8,4,172.2617044845734
384,1,40,1,18.4,8,194.3795413000675
385,7,62,2,20.3,1,133.5024774401611
386,6,40,4,20.3,7,174.16725225678465
387,6,50,5,32.8,3,176.36074893970385
388,4,59,7,36.0,5,188.1880593079572
389,8,60,7,54.5,6,209.6216033595317
390,0,43,10,36.7,2,208.31464817715516
391,0,39,5,58.6,6,267.2118464125936
392,2,66,6,46.5,1,197.69521637066845
393,7,87,9,53.0,8,193.42855188187067
394,3,69,1,66.8,4,240.59324318887184
395,0,69,4,43.3,5,210.20097911952288
396,3,60,2,40.5,7,207.7368095389329
397,0,72,1,39.6,2,192.3292511620528
398,7,61,10,58.3,6,218.817625110733
399,2,65,7,35.7,1,177.85563511973726
400,2,51,7,20.5,5,173.61873725980422
401,2,71,3,25.7,4,164.72428471743044
402,1,85,2,56.8,8,228.24421075627015
403,3,55,9,58.2,6,239.7523295737082
404,3,56,2,69.9,1,247.6954918866301
405,2,44,2,31.8,7,208.8259688977128
406,2,67,9,34.6,4,182.79845476686833
407,0,44,10,43.4,4,226.35325148995543
408,7,66,4,35.8,8,180.54933668803523
409,5,80,4,23.1,8,152.62126005215364
410,7,40,6,45.7,7,217.38946339345608
411,5,79,1,40.7,8,187.65358010236386
412,5,43,8,41.0,4,203.75244438310645
413,7,67,1,68.0,4,228.85155983769104
414,1,67,2,38.4,7,205.70105504624937
415,7,38,2,30.5,5,185.57276333904807
416,8,83,6,17.9,7,124.68990846166565
417,1,48,1,62.5,4,258.127792677932
418,4,53,10,36.2,6,195.7418563314948
419,4,55,3,53.2,1,212.8200410576338
420,5,48,10,29.5,6,183.43387701895733
421,5,74,2,37.4,8,185.32706744437343
422,4,49,2,53.4,4,228.02443820088155
423,7,59,5,40.5,6,188.71690439866802
424,7,71,3,27.4,8,160.8402412806609
425,1,43,8,51.4,3,235.9018159364249
426,8,62,8,34.4,1,154.05867598660882
427,7,78,10,62.1,8,217.84369581000803
428,6,52,6,39.3,8,202.23007803744463
429,0,81,9,24.3,7,168.79076507178115
430,8,72,10,22.5,8,144.4192596736495
431,4,77,3,46.1,3,187.08261342601645
432,7,42,5,50.5,2,209.41470943173664
433,6,57,7,28.2,2,157.9434385650429
434,1,67,2,54.1,1,216.46967991166719
435,2,85,7,66.1,5,230.70583729225459
436,0,42,4,45.0,1,223.7358831419422
437,7,52,8,43.3,6,198.88100217989233
438,4,64,1,47.1,1,194.40099270538047
439,6,83,1,33.1,4,153.494593752887
440,3,47,1,67.6,3,257.59876413715654
441,6,46,4,68.9,7,260.6182598555853
442,5,43,4,66.2,6,258.8643541820637
443,4,42,7,49.4,6,230.95647805951057
444,6,44,4,21.9,5,167.52614846394695
445,6,72,8,48.5,8,201.9269494803504
446,6,90,3,15.1,3,109.83992029481689
447,2,46,6,21.0,5,179.14096808317143
448,4,52,3,71.2,2,252.3951563848774
449,1,79,1,48.3,4,205.1292105929951
450,5,79,4,72.4,1,224.38513012195105
451,2,66,7,18.3,1,144.23781111553734
452,4,77,8,27.7,3,150.69862551050738
453,3,72,8,59.4,4,221.69385519645118
454,0,54,10,31.0,7,203.93033890208932
455,3,42,2,26.9,4,187.9670618186675
456,1,48,9,16.5,2,162.4577098937968
457,4,38,10,70.2,7,275.6141729568027
458,3,38,8,55.3,1,233.36698310094243
459,3,49,7,28.4,1,173.73374134484973
460,2,79,5,46.9,5,200.3182369759515
461,0,90,2,24.5,4,154.56648023834188
462,1,61,3,42.1,8,220.53857995972498
463,3,52,4,49.5,2,215.1036518906506
464,6,58,3,21.2,4,151.5634218497662
465,3,60,2,69.5,3,249.821300430245
466,0,74,3,58.1,1,221.65273983601492
467,1,69,5,41.4,3,196.0858696257396
468,1,52,9,51.8,3,228.68695307986593
469,4,62,6,54.3,5,220.4591909406533
470,2,38,9,37.0,2,205.6124093792837
471,5,50,1,35.0,6,195.21211374644977
472,7,69,7,17.4,1,120.3825238349599
473,6,45,7,69.4,3,248.8353702788334
474,7,47,2,69.1,1,238.11547583902376
475,7,52,5,65.3,6,241.35329786906084
476,8,52,1,20.3,5,150.9274007862461
477,7,41,10,57.6,3,225.03738722523607
478,5,79,6,35.8,8,176.69529380073712
479,2,89,6,35.3,3,163.38898928778715
480,6,42,9,29.0,8,190.26258743226737
481,0,46,6,27.1,3,192.21056952937073
482,4,90,3,26.0,7,150.75029562260494
483,7,55,4,53.5,1,201.26742814692705
484,1,89,5,26.8,4,154.7834708758782
485,5,58,2,65.7,2,233.3770623792172
486,6,56,3,72.5,8,262.4086103321612
487,6,86,10,21.1,3,122.10633329884396
488,0,90,2,23.6,1,143.47117125464553
489,1,56,10,56.5,2,230.67182480648873
490,2,58,5,61.9,3,240.08748881308918
491,2,74,5,37.4,3,180.39383361735213
492,3,83,1,27.3,1,144.94238561644215
493,3,90,1,55.4,8,213.87101992172776
494,1,53,7,70.9,4,267.6379927582401
495,4,89,8,15.2,4,120.12669351548442
496,8,58,7,64.8,7,233.84773213847603
497,7,59,5,48.6,6,203.97232536699744
498,7,88,3,41.5,5,163.59807693627994
499,1,47,6,19.3,7,185.28303111636882
500,7,57,9,33.6,6,176.03162655299047
501,8,75,1,71.7,8,237.6545145160689
502,7,61,4,18.7,8,152.5780464864308
503,5,50,5,67.0,1,238.42958116872697
504,3,65,7,19.5,6,159.08800058532816
505,6,67,1,38.0,1,166.8736347664388
506,4,42,3,46.0,7,229.07014740665267
507,8,67,10,60.4,3,204.36705754991073
508,0,41,8,27.6,8,212.36208505006994
509,2,41,1,56.3,3,245.32192468500668
510,2,87,10,24.2,7,155.32717610815183
511,3,45,1,16.4,3,162.86327593860207
512,2,74,3,43.1,7,204.35469212361727
513,3,70,8,30.8,4,169.52287488484052
514,5,53,3,23.5,1,154.65344063067175
515,7,72,3,28.6,2,143.45285952560167
516,7,58,7,22.1,4,147.9508136971271
517,1,73,2,19.2,1,145.6580145653435
518,8,51,3,28.6,3,160.44769772105033
519,7,87,3,62.2,4,200.2976517096164
520,6,74,6,33.9,7,170.29414321443423
521,4,62,1,51.2,2,206.9501325949863
522,6,74,3,72.6,1,225.41844907375253
523,3,67,10,49.1,2,199.57086427069032
524,6,71,8,68.9,5,231.79466718930888
525,1,67,3,69.6,7,264.11673689220066
526,4,87,4,70.4,6,233.4340018601278
527,3,48,10,45.4,5,218.09407518800967
528,1,84,3,50.1,1,194.19256409938606
529,4,50,6,17.2,4,157.61521182096772
530,7,61,7,41.5,2,175.68088803038214
531,6,66,2,69.2,7,244.9367607331278
532,8,70,2,43.2,4,175.33300923291472
533,8,85,7,37.9,8,163.45125622737214
534,0,66,2,56.3,7,244.18446798296145
535,1,84,2,64.7,5,234.5696121560783
536,0,57,5,46.9,1,214.26458003130534
537,1,60,10,64.2,2,241.78621284547475
538,2,78,4,61.5,8,238.4087839980272
539,4,70,9,32.6,1,159.24287028208656
540,3,82,10,55.8,7,215.152853966851
541,7,38,7,60.2,2,230.379346371712
542,7,39,7,71.2,7,265.9167687042975
543,3,69,5,54.6,3,213.09876308791013
544,1,49,8,59.0,7,257.6677089871291
545,4,90,7,24.0,3,133.06608342047238
546,7,87,2,34.6,5,151.79557769717954
547,3,42,8,60.1,8,260.9534989115598
548,2,63,7,45.7,5,210.91701051669952
549,8,83,6,56.8,1,179.1530723968665
550,4,70,6,65.3,3,228.13423020484606
551,5,74,2,43.4,7,193.4939585362864
552,8,76,3,18.1,5,125.76600094775614
553,3,80,5,28.0,8,169.3517009439449
554,3,41,6,64.1,2,251.22531473685143
555,5,50,9,30.8,1,168.86727449067575
556,1,70,5,45.0,8,217.68624070330813
557,7,40,10,44.6,5,207.66713943854072
558,0,54,1,24.1,5,187.78159578167157
559,7,50,3,62.9,3,229.81862965536766
560,6,73,9,42.3,8,189.0571012274612
561,7,69,1,45.7,5,188.2916488749207
562,6,57,10,55.7,3,211.83213619658898
563,4,49,7,55.5,1,220.84958682294155
564,5,81,6,52.6,6,200.37548604355155
565,3,73,4,36.5,2,172.8343291900186
566,8,70,3,45.6,5,182.6406150390628
567,1,63,8,23.6,5,172.8721519005799
568,7,43,1,69.6,8,264.72473211588255
569,2,77,8,24.9,2,150.13951848107078
570,0,84,2,63.8,6,239.93188239844477
571,8,44,1,23.5,2,154.3293291668523
572,0,65,6,52.5,4,227.09050267065305
573,3,50,4,27.5,4,181.62985606322962
574,6,62,7,61.6,2,216.61390923377934
575,7,60,1,30.3,1,154.37610955289463
576,4,52,7,57.1,2,224.455664941404
577,7,70,4,17.6,2,124.08352091558669
578,8,90,5,64.1,6,202.98639055245556
579,1,64,9,45.2,2,202.96015290980358
580,7,41,5,45.0,1,196.76958922109395
581,0,49,9,49.5,7,243.35350521063305
582,6,43,10,43.8,8,216.94383057875078
583,7,90,10,25.6,2,120.1365713460622
584,4,90,4,67.9,8,232.45162096566813
585,4,66,7,53.7,7,221.86238276163388
586,7,67,2,32.5,3,158.51202112153692
587,0,43,2,54.5,6,257.1401068408056
588,7,85,6,53.9,2,179.05473262604363
589,2,79,4,52.9,4,208.83106772955242
590,5,71,1,63.2,7,233.6716863372565
591,0,43,7,42.8,7,236.50822120348025
592,1,43,10,59.2,1,243.63350051700047
593,0,67,3,54.9,3,227.8211862468693
594,4,89,1,59.4,2,199.52706014349735
595,0,75,7,24.1,5,167.92064407242822
596,2,90,8,48.0,1,179.502342159687
597,0,53,6,59.3,4,250.06055916518264
598,5,42,7,26.0,2,170.4276827027183
599,2,71,10,66.1,1,228.99121118735113
600,1,42,1,53.1,1,236.10522681518935
601,3,63,5,51.0,6,220.80035641148822
602,4,68,4,53.5,2,205.1625815996302
603,3,68,6,53.8,8,227.76013856669505
604,7,61,5,58.6,2,208.57865606467573
605,5,76,8,22.4,1,131.3728653441858
606,3,39,2,58.9,4,250.77615067568033
607,8,64,2,54.8,6,208.52863845194048
608,8,54,1,66.3,5,235.86928540019406
609,5,52,5,46.7,2,201.6364408154207
610,8,46,10,27.8,1,154.48716888180394
611,5,45,6,22.7,7,177.6847954355985
612,8,40,9,46.5,6,210.80103563555255
613,6,73,6,55.7,3,199.66517961353838
614,2,58,2,56.4,3,230.76668862212688
615,4,44,6,21.6,3,167.85020463648536
616,4,60,10,32.3,7,185.6016364664805
617,2,41,2,44.1,3,221.998684305588
618,8,43,5,56.0,2,215.00251262575398
619,2,50,2,19.9,4,171.93190335078825
620,0,84,3,32.8,1,165.53389460766812
621,1,73,5,37.6,5,191.80816813326567
622,5,49,8,57.9,7,239.90040003133936
623,0,76,4,19.6,7,165.90315095729363
624,4,47,4,30.5,8,198.43055774878422
625,2,58,9,57.8,7,243.51553336285275
626,1,50,10,44.6,4,219.60789936431183
627,1,53,6,53.0,5,237.4047562017039
628,7,44,2,54.2,5,225.1274768500212
629,2,52,4,51.2,5,231.6295653982787
630,4,86,9,34.6,1,149.45892566174822
631,8,41,2,61.2,8,246.32829901802472
632,4,87,9,73.0,5,233.46768460751213
